tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2026-9900,United Cup,Hard,18,A,20260105,400,128034,9.0,,Hubert Hurkacz,R,196.0,POL,28.8,104527,16.0,,Stan Wawrinka,R,183.0,SUI,40.7,6-3 3-6 6-3,3,F,114.0,18.0,0.0,90.0,63.0,52.0,9.0,14.0,8.0,9.0,10.0,1.0,78.0,49.0,38.0,15.0,13.0,5.0,7.0,83.0,710.0,156.0,397.0
2026-9900,United Cup,Hard,18,A,20260105,399,128034,9.0,,Hubert Hurkacz,R,196.0,POL,28.8,126203,1.0,,Taylor Fritz,R,196.0,USA,28.1,7-6(1) 7-6(2),3,SF,94.0,16.0,3.0,76.0,59.0,50.0,7.0,12.0,2.0,2.0,12.0,0.0,73.0,47.0,37.0,13.0,12.0,1.0,1.0,83.0,710.0,9.0,3840.0
2026-9900,United Cup,Hard,18,A,20260105,398,200267,7.0,,Zizou Bergs,R,185.0,BEL,26.5,104527,16.0,,Stan Wawrinka,R,183.0,SUI,40.7,6-3 6-7(4) 6-3,3,SF,150.0,7.0,4.0,100.0,59.0,42.0,29.0,16.0,2.0,2.0,8.0,1.0,104.0,59.0,40.0,26.0,14.0,4.0,6.0,42.0,1193.0,156.0,397.0
2026-9900,United Cup,Hard,18,A,20260105,397,126774,12.0,,Stefanos Tsitsipas,R,193.0,GRE,27.4,126203,1.0,,Taylor Fritz,R,196.0,USA,28.1,6-4 7-5,3,QF,81.0,5.0,2.0,63.0,44.0,35.0,11.0,11.0,2.0,2.0,6.0,0.0,53.0,32.0,26.0,13.0,11.0,1.0,3.0,34.0,1380.0,9.0,3840.0
2026-9900,United Cup,Hard,18,A,20260105,396,200282,4.0,,Alex De Minaur,R,183.0,AUS,26.8,128034,9.0,,Hubert Hurkacz,R,196.0,POL,28.8,6-4 4-6 6-4,3,QF,138.0,6.0,1.0,104.0,57.0,47.0,25.0,15.0,10.0,11.0,19.0,0.0,85.0,63.0,47.0,12.0,15.0,2.0,4.0,6.0,4080.0,83.0,710.0
2026-9900,United Cup,Hard,18,A,20260105,395,202104,14.0,,Sebastian Baez,R,170.0,ARG,25.0,104527,16.0,,Stan Wawrinka,R,183.0,SUI,40.7,7-5 6-4,3,QF,98.0,3.0,1.0,73.0,57.0,41.0,9.0,11.0,5.0,5.0,11.0,2.0,66.0,36.0,29.0,14.0,11.0,2.0,4.0,43.0,1145.0,156.0,397.0
2026-9900,United Cup,Hard,18,A,20260105,394,200267,7.0,,Zizou Bergs,R,185.0,BEL,26.5,210150,11.0,,Jakub Mensik,R,193.0,CZE,20.3,6-2 7-6(4),3,QF,100.0,7.0,2.0,79.0,43.0,31.0,20.0,10.0,3.0,5.0,6.0,5.0,59.0,33.0,22.0,13.0,10.0,3.0,7.0,42.0,1193.0,18.0,2130.0
2026-9900,United Cup,Hard,18,A,20260105,393,126203,1.0,,Taylor Fritz,R,196.0,USA,28.1,144719,10.0,,Jaume Munar,R,183.0,ESP,28.6,7-6(4) 3-6 7-6(6),3,RR,193.0,16.0,7.0,112.0,75.0,60.0,18.0,16.0,5.0,6.0,14.0,5.0,122.0,72.0,62.0,24.0,17.0,2.0,2.0,9.0,3840.0,38.0,1295.0
2026-9900,United Cup,Hard,18,A,20260105,392,202104,14.0,,Sebastian Baez,R,170.0,ARG,25.0,126203,1.0,,Taylor Fritz,R,196.0,USA,28.1,4-6 7-5 6-4,3,RR,153.0,4.0,0.0,107.0,80.0,51.0,16.0,16.0,8.0,11.0,23.0,2.0,102.0,56.0,43.0,21.0,16.0,4.0,8.0,43.0,1145.0,9.0,3840.0
2026-9900,United Cup,Hard,18,A,20260105,391,202104,14.0,,Sebastian Baez,R,170.0,ARG,25.0,144719,10.0,,Jaume Munar,R,183.0,ESP,28.6,6-4 6-4,3,RR,103.0,0.0,2.0,71.0,46.0,27.0,15.0,10.0,4.0,6.0,7.0,0.0,52.0,39.0,25.0,6.0,10.0,2.0,6.0,43.0,1145.0,38.0,1295.0
