team,player,position,minutes,goals,assists,shots,shots_on,penalties,scorer_score
Sevilla,E. Lamela,Midfielder,0,0,0,0,0,0,0.0
Sevilla,H. Mejbri,Midfielder,0,0,0,0,0,0,0.0
Sevilla,Sergio Ramos,Defender,0,0,0,0,0,0,0.0
Sevilla,Óliver Torres,Midfielder,0,0,0,0,0,0,0.0
Southampton,J. Rothwell,Midfielder,0,0,0,0,0,0,0.0
Stade Brestois 29,Antonin Cartillier,Defender,0,0,0,0,0,0,0.0
Stade Brestois 29,B. Brahimi,Attacker,0,0,0,0,0,0,0.0
Stade Brestois 29,M. Satriano,Attacker,0,0,0,0,0,0,0.0
Stade Brestois 29,S. Mounié,Forward,0,0,0,0,0,0,0.0
Strasbourg,A. Pierre,Goalkeeper,0,0,0,0,0,0,0.0
Strasbourg,I. Sissoko,Midfielder,0,0,0,0,0,0,0.0
Strasbourg,J. Aholou,Midfielder,0,0,0,0,0,0,0.0
Strasbourg,Ângelo,Attacker,0,0,0,0,0,0,0.0
Torino,A. Buongiorno,Defender,0,0,0,0,0,0,0.0
Torino,N. Rauti,Attacker,0,0,0,0,0,0,0.0
Tottenham,R. Sessegnon,Midfielder,0,0,0,0,0,0,0.0
Toulouse,B. Traoré,Attacker,0,0,0,0,0,0,0.0
Toulouse,S. Spierings,Midfielder,0,0,0,0,0,0,0.0
Toulouse,T. Himeur,Goalkeeper,0,0,0,0,0,0,0.0
Toulouse,V. Birmančević,Midfielder,0,0,0,0,0,0,0.0
Toulouse,Y. Begraoui,Attacker,0,0,0,0,0,0,0.0
Udinese,A. Tikvić,Defender,0,0,0,0,0,0,0.0
Udinese,Matheus Martins,Attacker,0,0,0,0,0,0,0.0
Udinese,R. Pereyra,Midfielder,0,0,0,0,0,0,0.0
Udinese,Walace,Midfielder,0,0,0,0,0,0,0.0
Union Berlin,T. Puchacz,Defender,0,0,0,0,0,0,0.0
Valencia,Pablo Gozálbez,Midfielder,0,0,0,0,0,0,0.0
Valencia,Peter,Attacker,0,0,0,0,0,0,0.0
Valencia,R. Yaremchuk,Attacker,0,0,0,0,0,0,0.0
Valencia,S. Amallah,Midfielder,0,0,0,0,0,0,0.0
VfB Stuttgart,S. Guirassy,Attacker,0,0,2,67,37,3,52.55
VfL Bochum,T. Krauß,Midfielder,1082,0,0,9,2,0,4.54
VfL Bochum,T. Oermann,Defender,2216,0,2,7,0,0,4.41
VfL Bochum,Bernardo,Defender,1780,0,0,6,2,0,4.22
VfL Bochum,P. Drewes,Goalkeeper,1890,0,0,0,0,0,1.16
VfL Wolfsburg,B. Franjić,Defender,0,0,0,0,0,0,0.0
VfL Wolfsburg,Jan Bürger,Defender,0,0,0,0,0,0,0.0
VfL Wolfsburg,Trevor Chidubem Benedict,Attacker,0,0,0,0,0,0,0.0
VfL Wolfsburg,U. Llanez,Midfielder,0,0,0,0,0,0,0.0
Villarreal,Diego Collado,Attacker,0,0,0,0,0,0,0.0
Villarreal,Gonçalo Guedes,Attacker,0,0,0,0,0,0,0.0
Villarreal,Miguel Ángel Morro,Goalkeeper,0,0,0,0,0,0,0.0
Villarreal,Y. Mosquera,Defender,0,0,0,0,0,0,0.0
Werder Bremen,O. Burke,Attacker,898,5,0,25,13,0,31.21
Werder Bremen,M. Zetterer,Goalkeeper,3060,0,0,0,0,0,1.87
Werder Bremen,J. Löpping,Midfielder,0,0,0,0,0,0,0.0
West Ham,A. Ogbonna,Defender,0,0,0,0,0,0,0.0
West Ham,J. Anang,Goalkeeper,0,0,0,0,0,0,0.0
West Ham,J. Knightbridge,Goalkeeper,0,0,0,0,0,0,0.0
West Ham,K. Phillips,Midfielder,0,0,0,0,0,0,0.0
Wolves,N. Lemina,Midfielder,0,0,0,0,0,0,0.0
